nom_depute,1,2,3,4,5,6,7,8,9,10
eric-woerth,0,0,0,0,0,0,0,0,0,0
jean-louis-bricout,0,0,0,0,0,0,0,0,1,1
thomas-mesnier,1,1,-1,0,-1,-1,-1,-1,0,0
natalia-pouzyreff,1,0,0,-1,-1,-1,-1,-1,-1,-1
christine-pires-beaune,0,0,0,0,1,1,1,1,0,1
elodie-jacquier-laforge,1,0,0,0,0,0,0,0,0,0
dino-cinieri,0,0,0,0,0,0,0,0,0,0
isabelle-valentin,0,0,0,0,0,0,0,0,0,0
guillaume-kasbarian,1,1,0,0,0,0,0,0,-1,-1
paul-molac,1,0,0,0,0,0,0,0,0,0
alexandre-holroyd,1,0,-1,-1,0,0,0,0,0,0
isabelle-rauch,1,0,0,0,0,0,0,0,-1,-1
raphael-gerard,1,1,0,-1,-1,-1,-1,-1,-1,0
pierre-dharreville,-1,0,0,1,1,1,1,1,1,1
sandrine-josso,1,0,0,0,-1,0,-1,0,-1,-1
michele-peyron,1,1,-1,-1,-1,-1,-1,-1,-1,0
olga-givernet,1,0,-1,0,-1,-1,-1,0,-1,-1
sarah-el-hairy,1,0,-1,0,0,0,0,0,-1,-1
jean-luc-fugit,1,0,-1,-1,-1,-1,-1,-1,0,0
jean-hugues-ratenon,-1,0,1,1,0,0,0,0,1,0
stephane-peu,-1,-1,1,0,1,1,1,1,0,0
eric-girardin,1,0,-1,-1,-1,-1,-1,0,-1,-1
brigitte-liso,1,0,-1,-1,1,-1,-1,-1,-1,-1
christophe-naegelen,0,0,0,0,0,0,0,0,-1,-1
graziella-melchior,1,0,-1,-1,0,0,-1,-1,-1,0
fabrice-le-vigoureux,1,0,0,0,-1,-1,-1,-1,0,0
vincent-bru,1,0,0,0,0,0,0,0,0,0
florence-lasserre,1,0,0,0,0,0,0,0,0,0
belkhir-belhaddad,1,0,-1,-1,-1,-1,-1,0,-1,0
annaig-le-meur,1,1,-1,-1,-1,-1,-1,0,0,0
monique-iborra,1,0,0,0,0,0,0,0,0,0
erwan-balanant,1,1,-1,0,0,0,0,0,0,0
eric-alauzet,1,0,0,-1,0,0,0,0,0,0
sacha-houlie,1,1,-1,-1,-1,-1,-1,-1,0,0
clementine-autain,-1,-1,1,1,1,0,1,0,0,0
cecile-rilhac,1,0,-1,0,0,0,0,0,-1,-1
damien-adam,1,1,-1,-1,-1,-1,-1,-1,-1,-1
jean-noel-barrot,1,0,0,0,0,0,0,0,-1,-1
jean-felix-acquaviva,0,0,0,0,0,0,0,0,0,0
pierre-cordier,0,0,0,0,0,0,0,0,-1,0
nathalie-bassire,0,0,0,0,0,0,0,0,0,0
jean-luc-warsmann,1,0,0,0,0,0,0,0,0,0
david-habib,1,0,0,0,1,1,1,1,0,0
vincent-ledoux,1,0,0,0,0,0,0,0,-1,0
